epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,29621,0.99682,0.91249,0.8462,0.59705,0.82432,0.72146,0.54715,1.00857,0.95679,0.86247,0.00586822,0.00586822,0.00586822
147,29823,1.00861,0.91258,0.84898,0.60917,0.79493,0.72534,0.54767,1.01321,0.96565,0.86304,0.00584558,0.00584558,0.00584558
148,30024.8,1.01386,0.91355,0.85085,0.59924,0.81905,0.72348,0.5447,1.01975,0.96841,0.86458,0.00582295,0.00582295,0.00582295
149,30225.8,1.01212,0.9054,0.84956,0.6051,0.79797,0.71448,0.54012,1.0121,0.96804,0.86297,0.00580032,0.00580032,0.00580032
150,30426.9,0.99721,0.9013,0.84499,0.61962,0.79446,0.70914,0.53347,1.01062,0.96793,0.8633,0.00577769,0.00577769,0.00577769
151,30628.1,0.98509,0.89632,0.84149,0.60972,0.79882,0.71301,0.53633,1.00922,0.97552,0.86381,0.00575505,0.00575505,0.00575505
152,30829.3,0.9944,0.8987,0.85058,0.62105,0.7826,0.72093,0.54327,1.01074,0.96114,0.86167,0.00573242,0.00573242,0.00573242
153,31030.7,0.99332,0.88887,0.84476,0.60044,0.80045,0.71476,0.53855,1.01019,0.96965,0.86209,0.00570979,0.00570979,0.00570979
154,31231.7,0.99523,0.90081,0.84357,0.61386,0.80967,0.71826,0.5414,1.01176,0.96939,0.86216,0.00568715,0.00568715,0.00568715
155,31432.5,0.98698,0.88493,0.84358,0.60598,0.8035,0.71472,0.53773,1.00819,0.966,0.86209,0.00566452,0.00566452,0.00566452
156,31633.4,0.96974,0.86829,0.84558,0.61617,0.8035,0.71925,0.54039,1.01867,0.96634,0.86465,0.00564189,0.00564189,0.00564189
157,31834.2,0.98946,0.903,0.84438,0.59029,0.82928,0.70926,0.53363,0.99959,0.97926,0.86101,0.00561925,0.00561925,0.00561925
158,32035.3,0.98369,0.86725,0.84283,0.60208,0.81444,0.71452,0.53951,1.00277,0.97244,0.86293,0.00559662,0.00559662,0.00559662
159,32236.2,0.99379,0.87751,0.84247,0.60726,0.80864,0.71151,0.53328,1.0074,0.98319,0.86301,0.00557399,0.00557399,0.00557399
160,32436.8,0.98508,0.87608,0.84459,0.60208,0.83176,0.71201,0.53526,0.99564,0.97588,0.86134,0.00555136,0.00555136,0.00555136
161,32637.2,0.96812,0.85611,0.84559,0.59562,0.82231,0.70473,0.52962,0.99665,0.97656,0.86029,0.00552872,0.00552872,0.00552872
